fold,cut,model,train_rows,n,mae,rmse,bias,mape_nonzero
4,2023-10-26,naive_mean_28,38720,5760,8.08092757936508,19.729828149715814,7.152132936507936,176.2290218452345
4,2023-10-26,linear_regression,38720,5760,4.006713423692019,10.190405153954613,1.2073606285590581,76.14806916251754
4,2023-10-26,ridge,38720,5760,4.020582897436617,10.173857906180865,1.2394950622345973,76.31834718342903
4,2023-10-26,gradient_boosting,38720,5760,3.33854636618942,8.0727987165169,-0.05933456643833045,61.10421335223324
5,2024-01-24,naive_last,44480,5760,0.22899305555555555,0.8284230333725773,-0.002951388888888889,86.65491699117429
5,2024-01-24,naive_mean_7,44480,5760,0.21830357142857137,0.6901117675425339,-0.003472222222222237,70.92953582510808
5,2024-01-24,naive_mean_28,44480,5760,0.2508184523809524,0.7583214191334393,0.037760416666666644,72.28134164328817
5,2024-01-24,linear_regression,44480,5760,0.48490816170262235,0.961096721079753,0.3437966751305169,73.83400771658904
5,2024-01-24,ridge,44480,5760,0.48264387885847526,0.9575526421222882,0.3410445975657279,73.87693432250036
5,2024-01-24,gradient_boosting,44480,5760,0.25325927052291536,0.7220473214576084,0.02805837870875593,77.18447905721531
6,2024-04-23,naive_last,50240,3392,0.3466981132075472,1.119088240741559,-0.003537735849056604,88.19535399340893
6,2024-04-23,naive_mean_7,50240,3392,0.3310731132075472,0.9375954578535463,0.002484838274932603,67.68964472812603
6,2024-04-23,naive_mean_28,50240,3392,0.32211295485175195,0.9015252669585956,-0.020689437331536404,62.42359466818617
6,2024-04-23,linear_regression,50240,3392,0.5978356953159781,1.2430948539830706,0.398412603312278,84.92913800691971
6,2024-04-23,ridge,50240,3392,0.600161180376241,1.2433298006500932,0.40171458327283943,84.657673195337
6,2024-04-23,gradient_boosting,50240,3392,0.42184450467948675,1.0593017493615664,0.1413995413347312,71.8233482004809
7,2024-07-22,naive_last,53632,3328,5.962139423076923,15.363523703139299,-1.4501201923076923,81.49153762785308
7,2024-07-22,naive_mean_7,53632,3328,6.02549793956044,16.534270134881965,-2.0641311813186816,64.25223857024982
7,2024-07-22,naive_mean_28,53632,3328,6.8335658482142865,21.411014827026545,-4.258917839972527,64.81258464880553
7,2024-07-22,linear_regression,53632,3328,5.980949903074059,13.600566541934732,0.4485161959251493,82.16958154714197
7,2024-07-22,ridge,53632,3328,5.98359606698546,13.603426676668299,0.45451778213304633,81.97070330866127
7,2024-07-22,gradient_boosting,53632,3328,5.3794912108439386,14.171837889001015,-1.4261465023832338,60.9331422823142
8,2024-10-20,naive_last,56960,5696,3.962429775280899,10.40132203135736,1.206811797752809,95.62942203457877
8,2024-10-20,naive_mean_7,56960,5696,4.215665128410915,12.684775543287385,1.6977578250401282,80.79500969139757
8,2024-10-20,naive_mean_28,56960,5696,5.846408507223114,18.449297100033263,3.2719201444622796,120.10786085087899
8,2024-10-20,linear_regression,56960,5696,3.844645393826951,9.918006425124556,1.0977563875808218,84.14070900099698
8,2024-10-20,ridge,56960,5696,3.8385477778798265,9.920613165726595,1.087743607342925,83.9483528420695
8,2024-10-20,gradient_boosting,56960,5696,3.5560438029237758,11.3738239956359,-0.6168044918987807,65.25793687498275
9,2025-01-18,naive_last,62656,1984,0.2505040322580645,0.8415255923503724,-0.012600806451612902,93.61954108068097
9,2025-01-18,naive_mean_7,62656,1984,0.2403513824884793,0.6705964792031673,-0.015697004608294943,74.74048404100218
9,2025-01-18,naive_mean_28,62656,1984,0.2654809907834101,0.8119673077802357,0.021061347926267262,71.31349513427605
9,2025-01-18,linear_regression,62656,1984,0.26588992211391144,0.7535913371001105,0.022744679711497285,85.10581892905611
9,2025-01-18,ridge,62656,1984,0.26505136907459154,0.752078743181838,0.021978684597675133,85.08263154241591
9,2025-01-18,gradient_boosting,62656,1984,0.26370111127636475,0.6515902714424315,0.006284559233717104,72.09479152616323
10,2025-04-18,naive_last,64640,2304,0.7973090277777778,2.7727123954311916,-0.1740451388888889,78.37051379965973
10,2025-04-18,naive_mean_7,64640,2304,0.7621527777777778,2.5689023911906137,-0.24317956349206346,65.49925176243116
10,2025-04-18,naive_mean_28,64640,2304,0.8186228918650795,3.0444018321776647,-0.4106367807539682,68.1159533942428
10,2025-04-18,linear_regression,64640,2304,0.8477374164680183,2.5284136514528064,0.13724477598643536,67.98985677757548
10,2025-04-18,ridge,64640,2304,0.8479530162499864,2.5280491839089327,0.13805962109772463,67.82586705599444
10,2025-04-18,gradient_boosting,64640,2304,0.8916958382395974,2.946736280840618,0.3112167469653096,75.68007160071383
11,2025-07-17,naive_last,66944,1152,3.4019097222222223,7.803745094504305,-0.3029513888888889,84.05741422907012
11,2025-07-17,naive_mean_7,66944,1152,3.175595238095238,8.187839155358,-0.8635912698412699,57.54006136499853
11,2025-07-17,naive_mean_28,66944,1152,3.4899863591269837,9.418509027243786,-1.4620225694444444,57.227703779296526
