fold,cut,model,tier,n,mae,rmse,bias,mape_nonzero
5,2024-01-24,naive_mean_7,medium,2700,0.08396825396825396,0.2959413028357344,-0.00015873015873017,87.53270538984825
5,2024-01-24,naive_mean_7,low,720,0.0063492063492063475,0.057340926565677595,0.000793650793650792,100.0
5,2024-01-24,naive_mean_28,high,2340,0.5003205128205128,1.1473319846010308,0.07419108669108668,69.11345164661492
5,2024-01-24,naive_mean_28,medium,2700,0.09904761904761901,0.2918164500400609,0.015238095238095219,86.41091051805337
5,2024-01-24,naive_mean_28,low,720,0.009077380952380948,0.05355489162750272,0.0038194444444444413,94.64285714285714
5,2024-01-24,linear_regression,high,2340,0.7322504290487997,1.325132179174206,0.4458786924107063,73.55511568211767
5,2024-01-24,linear_regression,medium,2700,0.3355164011714487,0.6261059791860729,0.283342619459295,75.74223029837425
5,2024-01-24,linear_regression,low,720,0.24126489481944735,0.46119729383992325,0.2387328277369833,45.57720748435257
5,2024-01-24,ridge,high,2340,0.7304115392968248,1.3228122927734594,0.4430616648882754,73.61222176165721
5,2024-01-24,ridge,medium,2700,0.33270917150049945,0.6198452433360552,0.2803560810393657,75.70047992624987
5,2024-01-24,ridge,low,720,0.23965413502624835,0.455544566363573,0.23707106574130626,46.495247128957786
5,2024-01-24,gradient_boosting,high,2340,0.4621305462947544,1.0857251463634545,0.0015638795868953331,75.57886561690736
5,2024-01-24,gradient_boosting,medium,2700,0.12307171208468878,0.2975899802129524,0.04303005855033319,84.46791853549416
5,2024-01-24,gradient_boosting,low,720,0.06263096840778805,0.08730627401131193,0.05802170144888815,82.9668052601981
6,2024-04-23,naive_last,high,1378,0.7380261248185777,1.6872698466928107,-0.01088534107402032,85.71976206125292
6,2024-04-23,naive_last,medium,1537,0.10344827586206896,0.4598378826656387,0.001951854261548471,101.91256830601094
6,2024-04-23,naive_last,low,477,0.0,0.0,0.0,
6,2024-04-23,naive_mean_7,high,1378,0.6952104499274311,1.4194087247613616,-0.0033174372797014576,64.43868961556124
6,2024-04-23,naive_mean_7,medium,1537,0.10735198438516588,0.36571640602601263,0.008458035133376696,85.7031337125014
6,2024-04-23,naive_mean_7,low,477,0.0,0.0,0.0,
6,2024-04-23,naive_mean_28,high,1378,0.670899854862119,1.364940712920608,-0.059662036077130456,57.929041341084464
6,2024-04-23,naive_mean_28,medium,1537,0.10937354772748395,0.3511664185132586,0.007830653406450398,87.32784097245457
6,2024-04-23,naive_mean_28,low,477,0.0,0.0,0.0,
6,2024-04-23,linear_regression,high,1378,1.0396000774564003,1.8110142030457355,0.6221927438044761,86.69916858378022
6,2024-04-23,linear_regression,medium,1537,0.3330926774916863,0.6606171434894874,0.2672138080680045,75.12142759743028
6,2024-04-23,linear_regression,low,477,0.17468831545525385,0.3279751670115517,0.17468831545525385,
6,2024-04-23,ridge,high,1378,1.041527812103976,1.8117202586591252,0.6260556522592169,86.5015184148384
6,2024-04-23,ridge,medium,1537,0.3349243704307035,0.6593557909210029,0.2694655408219457,74.44095706105053
6,2024-04-23,ridge,low,477,0.17975396520951734,0.3312059053537148,0.17975396520951734,
6,2024-04-23,gradient_boosting,high,1378,0.7796617633286227,1.607879893145355,0.18864572287156717,70.95763551837202
