predictor,grain,horizon_weeks,unit,tier,level,n,mean_actual,measured_coverage,coverage_error,quotable
persistence,division,2,Barishal,medium,0.95,124,438.34,0.9032,-0.0468,True
persistence,division,2,Chattogram,high,0.5,124,488.14,0.4516,-0.0484,True
persistence,division,2,Chattogram,high,0.8,124,488.14,0.7742,-0.0258,True
persistence,division,2,Chattogram,high,0.95,124,488.14,0.9677,0.0177,True
persistence,division,2,Dhaka,high,0.5,124,1816.69,0.2903,-0.2097,True
persistence,division,2,Dhaka,high,0.8,124,1816.69,0.5323,-0.2677,True
persistence,division,2,Dhaka,high,0.95,124,1816.69,0.7984,-0.1516,True
persistence,division,2,Khulna,medium,0.5,124,345.94,0.4435,-0.0565,True
persistence,division,2,Khulna,medium,0.8,124,345.94,0.7177,-0.0823,True
persistence,division,2,Khulna,medium,0.95,124,345.94,0.9516,0.0016,True
persistence,division,2,Mymensingh,low,0.5,124,81.48,0.3548,-0.1452,True
persistence,division,2,Mymensingh,low,0.8,124,81.48,0.7419,-0.0581,True
persistence,division,2,Mymensingh,low,0.95,124,81.48,0.8952,-0.0548,True
persistence,division,2,Rajshahi,medium,0.5,124,191.44,0.5242,0.0242,True
persistence,division,2,Rajshahi,medium,0.8,124,191.44,0.8065,0.0065,True
persistence,division,2,Rajshahi,medium,0.95,124,191.44,0.9677,0.0177,True
persistence,division,2,Rangpur,low,0.5,124,53.85,0.5081,0.0081,True
persistence,division,2,Rangpur,low,0.8,124,53.85,0.7903,-0.0097,True
persistence,division,2,Rangpur,low,0.95,124,53.85,0.9516,0.0016,True
persistence,division,2,Sylhet,low,0.5,124,14.43,0.629,0.129,True
persistence,division,2,Sylhet,low,0.8,124,14.43,0.9355,0.1355,True
persistence,division,2,Sylhet,low,0.95,124,14.43,1.0,0.05,True
persistence,division,4,Barishal,medium,0.5,123,441.19,0.2602,-0.2398,True
persistence,division,4,Barishal,medium,0.8,123,441.19,0.626,-0.174,True
persistence,division,4,Barishal,medium,0.95,123,441.19,0.8943,-0.0557,True
persistence,division,4,Chattogram,high,0.5,123,480.41,0.4228,-0.0772,True
persistence,division,4,Chattogram,high,0.8,123,480.41,0.7886,-0.0114,True
persistence,division,4,Chattogram,high,0.95,123,480.41,0.9512,0.0012,True
persistence,division,4,Dhaka,high,0.5,123,1779.15,0.2683,-0.2317,True
persistence,division,4,Dhaka,high,0.8,123,1779.15,0.4959,-0.3041,True
persistence,division,4,Dhaka,high,0.95,123,1779.15,0.8049,-0.1451,True
persistence,division,4,Khulna,medium,0.5,123,337.59,0.4309,-0.0691,True
persistence,division,4,Khulna,medium,0.8,123,337.59,0.7317,-0.0683,True
persistence,division,4,Khulna,medium,0.95,123,337.59,0.9512,0.0012,True
persistence,division,4,Mymensingh,low,0.5,123,79.21,0.4634,-0.0366,True
persistence,division,4,Mymensingh,low,0.8,123,79.21,0.7236,-0.0764,True
persistence,division,4,Mymensingh,low,0.95,123,79.21,0.9106,-0.0394,True
persistence,division,4,Rajshahi,medium,0.5,123,189.35,0.5366,0.0366,True
persistence,division,4,Rajshahi,medium,0.8,123,189.35,0.8211,0.0211,True
persistence,division,4,Rajshahi,medium,0.95,123,189.35,0.9756,0.0256,True
persistence,division,4,Rangpur,low,0.5,123,53.08,0.5203,0.0203,True
persistence,division,4,Rangpur,low,0.8,123,53.08,0.7967,-0.0033,True
persistence,division,4,Rangpur,low,0.95,123,53.08,0.9593,0.0093,True
persistence,division,4,Sylhet,low,0.5,123,14.03,0.6423,0.1423,True
persistence,division,4,Sylhet,low,0.8,123,14.03,0.9675,0.1675,True
persistence,division,4,Sylhet,low,0.95,123,14.03,1.0,0.05,True
seasonal,division,1,Barishal,medium,0.5,125,435.0,0.456,-0.044,True
seasonal,division,1,Barishal,medium,0.8,125,435.0,0.728,-0.072,True
seasonal,division,1,Barishal,medium,0.95,125,435.0,0.864,-0.086,True
seasonal,division,1,Chattogram,high,0.5,125,489.63,0.416,-0.084,True
seasonal,division,1,Chattogram,high,0.8,125,489.63,0.8,0.0,True
seasonal,division,1,Chattogram,high,0.95,125,489.63,1.0,0.05,True
seasonal,division,1,Dhaka,high,0.5,125,1828.97,0.368,-0.132,True
seasonal,division,1,Dhaka,high,0.8,125,1828.97,0.648,-0.152,True
seasonal,division,1,Dhaka,high,0.95,125,1828.97,0.792,-0.158,True
seasonal,division,1,Khulna,medium,0.5,125,347.0,0.512,0.012,True
seasonal,division,1,Khulna,medium,0.8,125,347.0,0.712,-0.088,True
seasonal,division,1,Khulna,medium,0.95,125,347.0,0.848,-0.102,True
seasonal,division,1,Mymensingh,low,0.5,125,82.38,0.448,-0.052,True
seasonal,division,1,Mymensingh,low,0.8,125,82.38,0.632,-0.168,True
seasonal,division,1,Mymensingh,low,0.95,125,82.38,0.888,-0.062,True
seasonal,division,1,Rajshahi,medium,0.5,125,191.14,0.552,0.052,True
seasonal,division,1,Rajshahi,medium,0.8,125,191.14,0.792,-0.008,True
seasonal,division,1,Rajshahi,medium,0.95,125,191.14,0.904,-0.046,True
seasonal,division,1,Rangpur,low,0.5,125,53.87,0.584,0.084,True
seasonal,division,1,Rangpur,low,0.8,125,53.87,0.72,-0.08,True
seasonal,division,1,Rangpur,low,0.95,125,53.87,0.92,-0.03,True
seasonal,division,1,Sylhet,low,0.5,125,14.67,0.704,0.204,True
seasonal,division,1,Sylhet,low,0.8,125,14.67,0.856,0.056,True
seasonal,division,1,Sylhet,low,0.95,125,14.67,0.952,0.002,True
seasonal,division,2,Barishal,medium,0.5,124,438.34,0.4355,-0.0645,True
seasonal,division,2,Barishal,medium,0.8,124,438.34,0.7177,-0.0823,True
seasonal,division,2,Barishal,medium,0.95,124,438.34,0.8468,-0.1032,True
seasonal,division,2,Chattogram,high,0.5,124,488.14,0.4194,-0.0806,True
seasonal,division,2,Chattogram,high,0.8,124,488.14,0.7823,-0.0177,True
seasonal,division,2,Chattogram,high,0.95,124,488.14,1.0,0.05,True
seasonal,division,2,Dhaka,high,0.5,124,1816.69,0.2903,-0.2097,True
seasonal,division,2,Dhaka,high,0.8,124,1816.69,0.629,-0.171,True
seasonal,division,2,Dhaka,high,0.95,124,1816.69,0.7903,-0.1597,True
seasonal,division,2,Khulna,medium,0.5,124,345.94,0.5323,0.0323,True
seasonal,division,2,Khulna,medium,0.8,124,345.94,0.7097,-0.0903,True
seasonal,division,2,Khulna,medium,0.95,124,345.94,0.8306,-0.1194,True
seasonal,division,2,Mymensingh,low,0.5,124,81.48,0.4839,-0.0161,True
seasonal,division,2,Mymensingh,low,0.8,124,81.48,0.621,-0.179,True
seasonal,division,2,Mymensingh,low,0.95,124,81.48,0.8629,-0.0871,True
seasonal,division,2,Rajshahi,medium,0.5,124,191.44,0.5565,0.0565,True
seasonal,division,2,Rajshahi,medium,0.8,124,191.44,0.8145,0.0145,True
seasonal,division,2,Rajshahi,medium,0.95,124,191.44,0.9032,-0.0468,True
seasonal,division,2,Rangpur,low,0.5,124,53.85,0.5645,0.0645,True
seasonal,division,2,Rangpur,low,0.8,124,53.85,0.6935,-0.1065,True
seasonal,division,2,Rangpur,low,0.95,124,53.85,0.9274,-0.0226,True
seasonal,division,2,Sylhet,low,0.5,124,14.43,0.6855,0.1855,True
seasonal,division,2,Sylhet,low,0.8,124,14.43,0.8629,0.0629,True
seasonal,division,2,Sylhet,low,0.95,124,14.43,0.9516,0.0016,True
seasonal,division,4,Barishal,medium,0.5,123,441.19,0.3821,-0.1179,True
seasonal,division,4,Barishal,medium,0.8,123,441.19,0.6911,-0.1089,True
seasonal,division,4,Barishal,medium,0.95,123,441.19,0.8293,-0.1207,True
seasonal,division,4,Chattogram,high,0.5,123,480.41,0.4065,-0.0935,True
seasonal,division,4,Chattogram,high,0.8,123,480.41,0.7886,-0.0114,True
seasonal,division,4,Chattogram,high,0.95,123,480.41,1.0,0.05,True
seasonal,division,4,Dhaka,high,0.5,123,1779.15,0.2927,-0.2073,True
seasonal,division,4,Dhaka,high,0.8,123,1779.15,0.5285,-0.2715,True
seasonal,division,4,Dhaka,high,0.95,123,1779.15,0.8049,-0.1451,True
seasonal,division,4,Khulna,medium,0.5,123,337.59,0.4878,-0.0122,True
seasonal,division,4,Khulna,medium,0.8,123,337.59,0.7236,-0.0764,True
seasonal,division,4,Khulna,medium,0.95,123,337.59,0.8374,-0.1126,True
seasonal,division,4,Mymensingh,low,0.5,123,79.21,0.4472,-0.0528,True
seasonal,division,4,Mymensingh,low,0.8,123,79.21,0.6585,-0.1415,True
seasonal,division,4,Mymensingh,low,0.95,123,79.21,0.813,-0.137,True
seasonal,division,4,Rajshahi,medium,0.5,123,189.35,0.5041,0.0041,True
seasonal,division,4,Rajshahi,medium,0.8,123,189.35,0.8374,0.0374,True
seasonal,division,4,Rajshahi,medium,0.95,123,189.35,0.8862,-0.0638,True
seasonal,division,4,Rangpur,low,0.5,123,53.08,0.5772,0.0772,True
seasonal,division,4,Rangpur,low,0.8,123,53.08,0.7886,-0.0114,True
seasonal,division,4,Rangpur,low,0.95,123,53.08,0.8537,-0.0963,True
seasonal,division,4,Sylhet,low,0.5,123,14.03,0.6423,0.1423,True
seasonal,division,4,Sylhet,low,0.8,123,14.03,0.8455,0.0455,True
seasonal,division,4,Sylhet,low,0.95,123,14.03,0.9512,0.0012,True
