District,Month,Patients
Mymensingh,28/12/2019,0
Dhaka,29/12/2019,3
Chottogram,29/12/2019,0
Khulna,29/12/2019,1
Rangpur,29/12/2019,0
Rajshahi,29/12/2019,1
Barishal,29/12/2019,0
Sylet,29/12/2019,0
Mymensingh,29/12/2019,0
Dhaka,30/12/2019,7
Chottogram,30/12/2019,2
Khulna,30/12/2019,0
Rangpur,30/12/2019,0
Rajshahi,30/12/2019,1
Barishal,30/12/2019,0
Sylet,30/12/2019,0
Mymensingh,30/12/2019,0
Dhaka,31/12/2019,6
Chottogram,31/12/2019,0
Khulna,31/12/2019,2
Rangpur,31/12/2019,1
Rajshahi,31/12/2019,0
Barishal,31/12/2019,0
Sylet,31/12/2019,1
Mymensingh,31/12/2019,0
Dhaka,1/1/2020,6
Chottogram,1/1/2020,0
Khulna,1/1/2020,1
Rangpur,1/1/2020,0
Rajshahi,1/1/2020,0
Barishal,1/1/2020,0
Sylet,1/1/2020,0
Mymensingh,1/1/2020,0
Dhaka,2/1/2020,16
Chottogram,2/1/2020,0
Khulna,2/1/2020,0
Rangpur,2/1/2020,0
Rajshahi,2/1/2020,0
Barishal,2/1/2020,1
Sylet,2/1/2020,0
Mymensingh,2/1/2020,0
Dhaka,3/1/2020,4
Chottogram,3/1/2020,0
Khulna,3/1/2020,0
Rangpur,3/1/2020,0
Rajshahi,3/1/2020,0
Barishal,3/1/2020,0
Sylet,3/1/2020,0
Mymensingh,3/1/2020,2
Dhaka,4/1/2020,20
Chottogram,4/1/2020,0
Khulna,4/1/2020,0
Rangpur,4/1/2020,0
Rajshahi,4/1/2020,0
Barishal,4/1/2020,1
Sylet,4/1/2020,0
Mymensingh,4/1/2020,0
Dhaka,5/1/2020,12
Chottogram,5/1/2020,0
Khulna,5/1/2020,0
Rangpur,5/1/2020,0
Rajshahi,5/1/2020,0
Barishal,5/1/2020,1
Sylet,5/1/2020,0
Mymensingh,5/1/2020,0
Dhaka,6/1/2020,6
Chottogram,6/1/2020,0
Khulna,6/1/2020,1
Rangpur,6/1/2020,0
Rajshahi,6/1/2020,0
Barishal,6/1/2020,0
Sylet,6/1/2020,0
Mymensingh,6/1/2020,1
Dhaka,7/1/2020,17
Chottogram,7/1/2020,0
Khulna,7/1/2020,2
Rangpur,7/1/2020,0
Rajshahi,7/1/2020,0
Barishal,7/1/2020,0
Sylet,7/1/2020,0
Mymensingh,7/1/2020,0
Dhaka,8/1/2020,3
Chottogram,8/1/2020,0
Khulna,8/1/2020,1
Rangpur,8/1/2020,0
Rajshahi,8/1/2020,1
Barishal,8/1/2020,0
Sylet,8/1/2020,0
Mymensingh,8/1/2020,0
Dhaka,9/1/2020,12
Chottogram,9/1/2020,2
Khulna,9/1/2020,0
Rangpur,9/1/2020,0
Rajshahi,9/1/2020,0
Barishal,9/1/2020,0
Sylet,9/1/2020,0
Mymensingh,9/1/2020,0
Dhaka,10/1/2020,6
Chottogram,10/1/2020,0
Khulna,10/1/2020,0
Rangpur,10/1/2020,0
Rajshahi,10/1/2020,0
Barishal,10/1/2020,0
Sylet,10/1/2020,0
Mymensingh,10/1/2020,0
Dhaka,11/1/2020,13
Chottogram,11/1/2020,1
Khulna,11/1/2020,0
Rangpur,11/1/2020,0
Rajshahi,11/1/2020,0
Barishal,11/1/2020,0
Sylet,11/1/2020,0
Mymensingh,11/1/2020,0
Dhaka,12/1/2020,3
Chottogram,12/1/2020,0
Khulna,12/1/2020,0
Rangpur,12/1/2020,0
Rajshahi,12/1/2020,0
Barishal,12/1/2020,0
Sylet,12/1/2020,0
Mymensingh,12/1/2020,0
Dhaka,13/1/2020,10
Chottogram,13/1/2020,0
Khulna,13/1/2020,0
Rangpur,13/1/2020,0
Rajshahi,13/1/2020,0
Barishal,13/1/2020,0
Sylet,13/1/2020,0
Mymensingh,13/1/2020,0
Dhaka,14/1/2020,2
Chottogram,14/1/2020,0
Khulna,14/1/2020,0
Rangpur,14/1/2020,0
Rajshahi,14/1/2020,0
Barishal,14/1/2020,0
Sylet,14/1/2020,0
Mymensingh,14/1/2020,1
Dhaka,15/1/2020,4
Chottogram,15/1/2020,0
Khulna,15/1/2020,0
Rangpur,15/1/2020,0
Rajshahi,15/1/2020,0
Barishal,15/1/2020,0
Sylet,15/1/2020,0
Mymensingh,15/1/2020,0
Dhaka,16/1/2020,0
Chottogram,16/1/2020,0
Khulna,16/1/2020,0
Rangpur,16/1/2020,0
Rajshahi,16/1/2020,0
Barishal,16/1/2020,0
Sylet,16/1/2020,0
Mymensingh,16/1/2020,0
Dhaka,17/1/2020,0
Chottogram,17/1/2020,0
Khulna,17/1/2020,0
Rangpur,17/1/2020,0
Rajshahi,17/1/2020,0
Barishal,17/1/2020,0
Sylet,17/1/2020,0
Mymensingh,17/1/2020,1
Dhaka,18/1/2020,2
Chottogram,18/1/2020,1
Khulna,18/1/2020,0
Rangpur,18/1/2020,0
Rajshahi,18/1/2020,0
Barishal,18/1/2020,0
Sylet,18/1/2020,0
Mymensingh,18/1/2020,0
Dhaka,19/1/2020,4
Chottogram,19/1/2020,0
Khulna,19/1/2020,0
Rangpur,19/1/2020,0
Rajshahi,19/1/2020,0
Barishal,19/1/2020,0
Sylet,19/1/2020,0
Mymensingh,19/1/2020,0
Dhaka,20/1/2020,2
Chottogram,20/1/2020,0
Khulna,20/1/2020,0
Rangpur,20/1/2020,0
Rajshahi,20/1/2020,0
Barishal,20/1/2020,0
Sylet,20/1/2020,0
Mymensingh,20/1/2020,0
Dhaka,21/1/2020,4
Chottogram,21/1/2020,0
Khulna,21/1/2020,0
Rangpur,21/1/2020,0
Rajshahi,21/1/2020,0
Barishal,21/1/2020,0
Sylet,21/1/2020,0
Mymensingh,21/1/2020,0
Dhaka,22/1/2020,2
Chottogram,22/1/2020,0
Khulna,22/1/2020,0
Rangpur,22/1/2020,0
Rajshahi,22/1/2020,0
Barishal,22/1/2020,0
Sylet,22/1/2020,0
Mymensingh,22/1/2020,0
Dhaka,23/1/2020,4
Chottogram,23/1/2020,0
Khulna,23/1/2020,0
Rangpur,23/1/2020,0
Rajshahi,23/1/2020,0
Barishal,23/1/2020,0
Sylet,23/1/2020,0
Mymensingh,23/1/2020,0
Dhaka,24/1/2020,1
Chottogram,24/1/2020,0
Khulna,24/1/2020,0
Rangpur,24/1/2020,0
Rajshahi,24/1/2020,0
Barishal,24/1/2020,0
Sylet,24/1/2020,0
Mymensingh,24/1/2020,0
Dhaka,25/1/2020,4
Chottogram,25/1/2020,0
Khulna,25/1/2020,0
Rangpur,25/1/2020,0
Rajshahi,25/1/2020,0
Barishal,25/1/2020,0
Sylet,25/1/2020,0
Mymensingh,25/1/2020,0
Dhaka,26/1/2020,2
Chottogram,26/1/2020,0
Khulna,26/1/2020,0
Rangpur,26/1/2020,0
Rajshahi,26/1/2020,0
Barishal,26/1/2020,0
Sylet,26/1/2020,0
Mymensingh,26/1/2020,0
Dhaka,27/1/2020,7
Chottogram,27/1/2020,0
Khulna,27/1/2020,0
Rangpur,27/1/2020,0
Rajshahi,27/1/2020,0
Barishal,27/1/2020,0
Sylet,27/1/2020,0
Mymensingh,27/1/2020,0
Dhaka,28/1/2020,3
Chottogram,28/1/2020,1
Khulna,28/1/2020,0
Rangpur,28/1/2020,0
Rajshahi,28/1/2020,0
Barishal,28/1/2020,0
Sylet,28/1/2020,0
Mymensingh,28/1/2020,2
Dhaka,29/1/2020,1
Chottogram,29/1/2020,0
Khulna,29/1/2020,0
Rangpur,29/1/2020,0
Rajshahi,29/1/2020,0
Barishal,29/1/2020,0
Sylet,29/1/2020,0
Mymensingh,29/1/2020,0
Dhaka,30/1/2020,1
Chottogram,30/1/2020,1
Khulna,30/1/2020,0
Rangpur,30/1/2020,0
Rajshahi,30/1/2020,0
Barishal,30/1/2020,0
Sylet,30/1/2020,0
Mymensingh,30/1/2020,0
Dhaka,4/2/2021,2
Chottogram,4/2/2021,0
Khulna,4/2/2021,0
Rangpur,4/2/2021,0
Rajshahi,4/2/2021,0
Barishal,4/2/2021,0
Sylet,4/2/2021,0
Mymensingh,4/2/2021,0
Dhaka,13/12/2021,15
Chottogram,13/12/2021,23
Khulna,13/12/2021,2
Rangpur,13/12/2021,0
Rajshahi,13/12/2021,0
Barishal,13/12/2021,2
Sylet,13/12/2021,0
Mymensingh,13/12/2021,0
Dhaka,14/12/2021,27
Chottogram,14/12/2021,9
Khulna,14/12/2021,1
Rangpur,14/12/2021,0
Rajshahi,14/12/2021,0
Barishal,14/12/2021,3
Sylet,14/12/2021,0
Mymensingh,14/12/2021,0
Dhaka,15/12/2021,12
Chottogram,15/12/2021,2
Khulna,15/12/2021,1
Rangpur,15/12/2021,0
Rajshahi,15/12/2021,0
Barishal,15/12/2021,0
Sylet,15/12/2021,0
Mymensingh,15/12/2021,1
Dhaka,16/12/2021,12
Chottogram,16/12/2021,2
Khulna,16/12/2021,0
Rangpur,16/12/2021,0
Rajshahi,16/12/2021,0
Barishal,16/12/2021,1
Sylet,16/12/2021,0
Mymensingh,16/12/2021,1
Dhaka,17/12/2021,14
Chottogram,17/12/2021,0
Khulna,17/12/2021,0
Rangpur,17/12/2021,0
Rajshahi,17/12/2021,0
Barishal,17/12/2021,0
Sylet,17/12/2021,0
Mymensingh,17/12/2021,0
Dhaka,18/12/2021,21
Chottogram,18/12/2021,5
Khulna,18/12/2021,0
Rangpur,18/12/2021,0
Rajshahi,18/12/2021,2
Barishal,18/12/2021,0
Sylet,18/12/2021,0
Mymensingh,18/12/2021,0
Dhaka,19/12/2021,20
Chottogram,19/12/2021,26
Khulna,19/12/2021,3
Rangpur,19/12/2021,0
Rajshahi,19/12/2021,0
Barishal,19/12/2021,0
Sylet,19/12/2021,0
Mymensingh,19/12/2021,1
Dhaka,20/12/2021,18
Chottogram,20/12/2021,19
Khulna,20/12/2021,0
Rangpur,20/12/2021,0
Rajshahi,20/12/2021,0
Barishal,20/12/2021,2
Sylet,20/12/2021,0
Mymensingh,20/12/2021,0
Dhaka,21/12/2021,12
Chottogram,21/12/2021,1
Khulna,21/12/2021,0
Rangpur,21/12/2021,0
Rajshahi,21/12/2021,0
Barishal,21/12/2021,0
Sylet,21/12/2021,0
Mymensingh,21/12/2021,0
Dhaka,22/12/2021,10
Chottogram,22/12/2021,57
Khulna,22/12/2021,1
Rangpur,22/12/2021,0
Rajshahi,22/12/2021,0
Barishal,22/12/2021,0
Sylet,22/12/2021,0
Mymensingh,22/12/2021,1
Dhaka,23/12/2021,9
Chottogram,23/12/2021,14
Khulna,23/12/2021,0
Rangpur,23/12/2021,0
Rajshahi,23/12/2021,0
Barishal,23/12/2021,1
Sylet,23/12/2021,0
Mymensingh,23/12/2021,0
Dhaka,24/12/2021,7
Chottogram,24/12/2021,0
Khulna,24/12/2021,0
Rangpur,24/12/2021,0
Rajshahi,24/12/2021,0
Barishal,24/12/2021,0
Sylet,24/12/2021,0
Mymensingh,24/12/2021,0
Dhaka,25/12/2021,16
Chottogram,25/12/2021,0
Khulna,25/12/2021,1
Rangpur,25/12/2021,0
Rajshahi,25/12/2021,1
Barishal,25/12/2021,0
Sylet,25/12/2021,0
Mymensingh,25/12/2021,0
Dhaka,26/12/2021,4
Chottogram,26/12/2021,3
Khulna,26/12/2021,0
Rangpur,26/12/2021,0
Rajshahi,26/12/2021,0
Barishal,26/12/2021,0
Sylet,26/12/2021,0
Mymensingh,26/12/2021,0
Dhaka,27/12/2021,7
Chottogram,27/12/2021,2
Khulna,27/12/2021,0
Rangpur,27/12/2021,0
Rajshahi,27/12/2021,0
Barishal,27/12/2021,0
Sylet,27/12/2021,0
Mymensingh,27/12/2021,1
Dhaka,28/12/2021,6
Chottogram,28/12/2021,7
Khulna,28/12/2021,0
Rangpur,28/12/2021,0
Rajshahi,28/12/2021,0
Barishal,28/12/2021,0
Sylet,28/12/2021,0
Mymensingh,28/12/2021,0
Dhaka,29/12/2021,9
Chottogram,29/12/2021,1
Khulna,29/12/2021,0
Rangpur,29/12/2021,0
Rajshahi,29/12/2021,0
Barishal,29/12/2021,0
Sylet,29/12/2021,0
Mymensingh,29/12/2021,1
Dhaka,30/12/2021,3
Chottogram,30/12/2021,28
Khulna,30/12/2021,0
Rangpur,30/12/2021,0
Rajshahi,30/12/2021,0
Barishal,30/12/2021,0
Sylet,30/12/2021,0
Mymensingh,30/12/2021,0
Dhaka,1/1/2022,2
Chottogram,1/1/2022,1
Khulna,1/1/2022,0
Rangpur,1/1/2022,0
Rajshahi,1/1/2022,0
Barishal,1/1/2022,1
Sylet,1/1/2022,0
Mymensingh,1/1/2022,0
Dhaka,2/1/2022,9
Chottogram,2/1/2022,1
Khulna,2/1/2022,0
Rangpur,2/1/2022,0
Rajshahi,2/1/2022,0
Barishal,2/1/2022,0
Sylet,2/1/2022,0
Mymensingh,2/1/2022,0
Dhaka,3/1/2022,13
Chottogram,3/1/2022,26
Khulna,3/1/2022,0
Rangpur,3/1/2022,0
Rajshahi,3/1/2022,0
Barishal,3/1/2022,0
Sylet,3/1/2022,0
Mymensingh,3/1/2022,0
Dhaka,4/1/2022,3
Chottogram,4/1/2022,0
Khulna,4/1/2022,0
Rangpur,4/1/2022,0
Rajshahi,4/1/2022,0
Barishal,4/1/2022,1
Sylet,4/1/2022,0
Mymensingh,4/1/2022,0
Dhaka,5/1/2022,2
Chottogram,5/1/2022,2
Khulna,5/1/2022,0
Rangpur,5/1/2022,0
Rajshahi,5/1/2022,0
Barishal,5/1/2022,0
Sylet,5/1/2022,0
Mymensingh,5/1/2022,0
Dhaka,6/1/2022,3
Chottogram,6/1/2022,6
Khulna,6/1/2022,0
Rangpur,6/1/2022,0
Rajshahi,6/1/2022,0
Barishal,6/1/2022,0
Sylet,6/1/2022,0
Mymensingh,6/1/2022,0
Dhaka,7/1/2022,1
Chottogram,7/1/2022,0
Khulna,7/1/2022,0
Rangpur,7/1/2022,0
Rajshahi,7/1/2022,0
Barishal,7/1/2022,0
Sylet,7/1/2022,0
Mymensingh,7/1/2022,0
Dhaka,8/1/2022,2
Chottogram,8/1/2022,0
Khulna,8/1/2022,0
Rangpur,8/1/2022,0
Rajshahi,8/1/2022,0
Barishal,8/1/2022,0
Sylet,8/1/2022,0
Mymensingh,8/1/2022,0
Dhaka,9/1/2022,28
Chottogram,9/1/2022,3
Khulna,9/1/2022,0
Rangpur,9/1/2022,0
Rajshahi,9/1/2022,0
Barishal,9/1/2022,0
Sylet,9/1/2022,0
Mymensingh,9/1/2022,0
Dhaka,10/1/2022,2
Chottogram,10/1/2022,1
Khulna,10/1/2022,0
Rangpur,10/1/2022,0
Rajshahi,10/1/2022,0
Barishal,10/1/2022,0
Sylet,10/1/2022,0
Mymensingh,10/1/2022,0
Dhaka,11/1/2022,3
Chottogram,11/1/2022,1
Khulna,11/1/2022,0
Rangpur,11/1/2022,0
Rajshahi,11/1/2022,0
Barishal,11/1/2022,0
Sylet,11/1/2022,0
Mymensingh,11/1/2022,0
Dhaka,12/1/2022,0
Chottogram,12/1/2022,12
Khulna,12/1/2022,0
Rangpur,12/1/2022,0
Rajshahi,12/1/2022,0
Barishal,12/1/2022,1
Sylet,12/1/2022,0
Mymensingh,12/1/2022,0
Dhaka,13/1/2022,3
Chottogram,13/1/2022,0
Khulna,13/1/2022,0
Rangpur,13/1/2022,0
Rajshahi,13/1/2022,0
Barishal,13/1/2022,0
Sylet,13/1/2022,0
Mymensingh,13/1/2022,0
Dhaka,14/1/2022,1
Chottogram,14/1/2022,0
Khulna,14/1/2022,0
Rangpur,14/1/2022,0
Rajshahi,14/1/2022,0
Barishal,14/1/2022,0
Sylet,14/1/2022,0
Mymensingh,14/1/2022,0
Dhaka,15/1/2022,3
Chottogram,15/1/2022,0
Khulna,15/1/2022,0
Rangpur,15/1/2022,0
Rajshahi,15/1/2022,0
Barishal,15/1/2022,0
Sylet,15/1/2022,0
Mymensingh,15/1/2022,0
Dhaka,16/1/2022,2
Chottogram,16/1/2022,0
Khulna,16/1/2022,0
Rangpur,16/1/2022,0
Rajshahi,16/1/2022,0
Barishal,16/1/2022,0
Sylet,16/1/2022,0
Mymensingh,16/1/2022,0
Dhaka,17/1/2022,2
Chottogram,17/1/2022,0
Khulna,17/1/2022,0
Rangpur,17/1/2022,0
Rajshahi,17/1/2022,0
Barishal,17/1/2022,0
Sylet,17/1/2022,0
Mymensingh,17/1/2022,0
Dhaka,18/1/2022,3
Chottogram,18/1/2022,1
Khulna,18/1/2022,0
Rangpur,18/1/2022,0
Rajshahi,18/1/2022,0
Barishal,18/1/2022,0
Sylet,18/1/2022,0
Mymensingh,18/1/2022,0
Dhaka,19/1/2022,5
Chottogram,19/1/2022,2
Khulna,19/1/2022,0
Rangpur,19/1/2022,0
Rajshahi,19/1/2022,0
Barishal,19/1/2022,0
Sylet,19/1/2022,0
Mymensingh,19/1/2022,0
Dhaka,20/1/2022,1
Chottogram,20/1/2022,0
Khulna,20/1/2022,0
Rangpur,20/1/2022,0
Rajshahi,20/1/2022,0
Barishal,20/1/2022,0
Sylet,20/1/2022,0
Mymensingh,20/1/2022,0
Dhaka,21/1/2022,0
Chottogram,21/1/2022,0
Khulna,21/1/2022,0
Rangpur,21/1/2022,0
Rajshahi,21/1/2022,0
Barishal,21/1/2022,0
Sylet,21/1/2022,0
Mymensingh,21/1/2022,0
Dhaka,22/1/2022,0
Chottogram,22/1/2022,0
Khulna,22/1/2022,0
Rangpur,22/1/2022,0
Rajshahi,22/1/2022,0
Barishal,22/1/2022,0
Sylet,22/1/2022,0
Mymensingh,22/1/2022,0
Dhaka,23/1/2022,1
Chottogram,23/1/2022,0
Khulna,23/1/2022,1
Rangpur,23/1/2022,0
Rajshahi,23/1/2022,0
Barishal,23/1/2022,0
Sylet,23/1/2022,0
Mymensingh,23/1/2022,0
Dhaka,24/1/2022,2
Chottogram,24/1/2022,1
Khulna,24/1/2022,0
Rangpur,24/1/2022,0
Rajshahi,24/1/2022,0
Barishal,24/1/2022,0
Sylet,24/1/2022,0
Mymensingh,24/1/2022,0
Dhaka,25/1/2022,1
Chottogram,25/1/2022,0
Khulna,25/1/2022,0
Rangpur,25/1/2022,0
Rajshahi,25/1/2022,0
Barishal,25/1/2022,0
Sylet,25/1/2022,0
Mymensingh,25/1/2022,0
Dhaka,26/1/2022,0
Chottogram,26/1/2022,0
Khulna,26/1/2022,0
Rangpur,26/1/2022,0
Rajshahi,26/1/2022,0
Barishal,26/1/2022,0
Sylet,26/1/2022,0
Mymensingh,26/1/2022,0
Dhaka,27/1/2022,1
Chottogram,27/1/2022,0
Khulna,27/1/2022,0
Rangpur,27/1/2022,0
Rajshahi,27/1/2022,0
Barishal,27/1/2022,0
Sylet,27/1/2022,0
Mymensingh,27/1/2022,0
Dhaka,28/1/2022,2
Chottogram,28/1/2022,0
Khulna,28/1/2022,0
Rangpur,28/1/2022,0
Rajshahi,28/1/2022,0
Barishal,28/1/2022,0
Sylet,28/1/2022,0
Mymensingh,28/1/2022,0
Dhaka,29/1/2022,0
Chottogram,29/1/2022,0
Khulna,29/1/2022,0
Rangpur,29/1/2022,0
Rajshahi,29/1/2022,0
Barishal,29/1/2022,0
Sylet,29/1/2022,0
Mymensingh,29/1/2022,0
Dhaka,30/1/2022,0
Chottogram,30/1/2022,0
Khulna,30/1/2022,0
Rangpur,30/1/2022,0
Rajshahi,30/1/2022,0
Barishal,30/1/2022,0
Sylet,30/1/2022,0
Mymensingh,30/1/2022,0
Dhaka,31/1/2022,0
Chottogram,31/1/2022,1
Khulna,31/1/2022,0
Rangpur,31/1/2022,0
Rajshahi,31/1/2022,0
Barishal,31/1/2022,0
Sylet,31/1/2022,0
Mymensingh,31/1/2022,0
Dhaka,1/7/2022,19
Chottogram,1/7/2022,3
Khulna,1/7/2022,0
Rangpur,1/7/2022,0
Rajshahi,1/7/2022,0
Barishal,1/7/2022,0
Sylet,1/7/2022,0
Mymensingh,1/7/2022,0
Dhaka,2/7/2022,47
Chottogram,2/7/2022,1
Khulna,2/7/2022,0
Rangpur,2/7/2022,0
Rajshahi,2/7/2022,0
Barishal,2/7/2022,0
Sylet,2/7/2022,0
Mymensingh,2/7/2022,0
Dhaka,3/7/2022,32
Chottogram,3/7/2022,5
Khulna,3/7/2022,0
Rangpur,3/7/2022,0
Rajshahi,3/7/2022,0
Barishal,3/7/2022,4
Sylet,3/7/2022,0
Mymensingh,3/7/2022,1
Dhaka,4/7/2022,31
Chottogram,4/7/2022,3
Khulna,4/7/2022,2
Rangpur,4/7/2022,0
Rajshahi,4/7/2022,0
Barishal,4/7/2022,0
Sylet,4/7/2022,0
Mymensingh,4/7/2022,0
Dhaka,5/7/2022,43
Chottogram,5/7/2022,0
Khulna,5/7/2022,0
Rangpur,5/7/2022,0
Rajshahi,5/7/2022,0
Barishal,5/7/2022,0
Sylet,5/7/2022,0
Mymensingh,5/7/2022,2
Dhaka,6/7/2022,32
Chottogram,6/7/2022,0
Khulna,6/7/2022,0
Rangpur,6/7/2022,0
Rajshahi,6/7/2022,0
Barishal,6/7/2022,0
Sylet,6/7/2022,0
Mymensingh,6/7/2022,0
Dhaka,7/7/2022,28
Chottogram,7/7/2022,0
Khulna,7/7/2022,0
Rangpur,7/7/2022,0
Rajshahi,7/7/2022,0
Barishal,7/7/2022,0
Sylet,7/7/2022,0
Mymensingh,7/7/2022,0
Dhaka,8/7/2022,29
Chottogram,8/7/2022,0
Khulna,8/7/2022,0
Rangpur,8/7/2022,0
Rajshahi,8/7/2022,0
Barishal,8/7/2022,0
Sylet,8/7/2022,0
Mymensingh,8/7/2022,0
Dhaka,9/7/2022,17
Chottogram,9/7/2022,0
Khulna,9/7/2022,0
Rangpur,9/7/2022,0
Rajshahi,9/7/2022,0
Barishal,9/7/2022,0
Sylet,9/7/2022,0
Mymensingh,9/7/2022,0
Dhaka,1/8/2022,68
Chottogram,1/8/2022,17
Khulna,1/8/2022,1
Rangpur,1/8/2022,0
Rajshahi,1/8/2022,3
Barishal,1/8/2022,0
Sylet,1/8/2022,0
Mymensingh,1/8/2022,1
Dhaka,2/8/2022,51
Chottogram,2/8/2022,14
Khulna,2/8/2022,0
Rangpur,2/8/2022,0
Rajshahi,2/8/2022,0
Barishal,2/8/2022,0
Sylet,2/8/2022,0
Mymensingh,2/8/2022,0
Dhaka,3/8/2022,59
Chottogram,3/8/2022,17
Khulna,3/8/2022,0
Rangpur,3/8/2022,0
Rajshahi,3/8/2022,0
Barishal,3/8/2022,0
Sylet,3/8/2022,0
Mymensingh,3/8/2022,1
Dhaka,4/8/2022,67
Chottogram,4/8/2022,19
Khulna,4/8/2022,0
Rangpur,4/8/2022,0
Rajshahi,4/8/2022,0
Barishal,4/8/2022,0
Sylet,4/8/2022,0
Mymensingh,4/8/2022,1
Dhaka,5/8/2022,40
Chottogram,5/8/2022,0
Khulna,5/8/2022,0
Rangpur,5/8/2022,0
Rajshahi,5/8/2022,0
Barishal,5/8/2022,0
Sylet,5/8/2022,0
Mymensingh,5/8/2022,0
Dhaka,6/8/2022,77
Chottogram,6/8/2022,0
Khulna,6/8/2022,0
Rangpur,6/8/2022,0
Rajshahi,6/8/2022,0
Barishal,6/8/2022,0
Sylet,6/8/2022,0
Mymensingh,6/8/2022,0
Dhaka,7/8/2022,73
Chottogram,7/8/2022,14
Khulna,7/8/2022,0
Rangpur,7/8/2022,0
Rajshahi,7/8/2022,0
Barishal,7/8/2022,0
Sylet,7/8/2022,0
Mymensingh,7/8/2022,0
Dhaka,8/8/2022,59
Chottogram,8/8/2022,18
Khulna,8/8/2022,2
Rangpur,8/8/2022,0
Rajshahi,8/8/2022,0
Barishal,8/8/2022,0
Sylet,8/8/2022,0
Mymensingh,8/8/2022,0
Dhaka,9/8/2022,50
Chottogram,9/8/2022,0
Khulna,9/8/2022,0
Rangpur,9/8/2022,0
Rajshahi,9/8/2022,0
Barishal,9/8/2022,0
Sylet,9/8/2022,0
Mymensingh,9/8/2022,3
Dhaka,10/8/2022,73
Chottogram,10/8/2022,18
Khulna,10/8/2022,1
Rangpur,10/8/2022,0
Rajshahi,10/8/2022,0
Barishal,10/8/2022,0
Sylet,10/8/2022,0
Mymensingh,10/8/2022,0
Dhaka,11/8/2022,73
Chottogram,11/8/2022,13
Khulna,11/8/2022,4
Rangpur,11/8/2022,0
Rajshahi,11/8/2022,0
Barishal,11/8/2022,0
Sylet,11/8/2022,0
Mymensingh,11/8/2022,0
Dhaka,12/8/2022,50
Chottogram,12/8/2022,0
Khulna,12/8/2022,1
Rangpur,12/8/2022,0
Rajshahi,12/8/2022,0
Barishal,12/8/2022,0
Sylet,12/8/2022,0
Mymensingh,12/8/2022,0
Dhaka,13/8/2022,89
Chottogram,13/8/2022,0
Khulna,13/8/2022,1
Rangpur,13/8/2022,0
Rajshahi,13/8/2022,0
Barishal,13/8/2022,1
Sylet,13/8/2022,0
Mymensingh,13/8/2022,1
Dhaka,14/8/2022,72
Chottogram,14/8/2022,39
Khulna,14/8/2022,3
Rangpur,14/8/2022,0
Rajshahi,14/8/2022,0
Barishal,14/8/2022,1
Sylet,14/8/2022,0
Mymensingh,14/8/2022,1
Dhaka,15/8/2022,59
Chottogram,15/8/2022,24
Khulna,15/8/2022,2
Rangpur,15/8/2022,0
Rajshahi,15/8/2022,0
Barishal,15/8/2022,1
Sylet,15/8/2022,0
Mymensingh,15/8/2022,0
Dhaka,16/8/2022,108
Chottogram,16/8/2022,16
Khulna,16/8/2022,1
Rangpur,16/8/2022,0
Rajshahi,16/8/2022,0
Barishal,16/8/2022,1
Sylet,16/8/2022,0
Mymensingh,16/8/2022,2
Dhaka,17/8/2022,81
Chottogram,17/8/2022,14
Khulna,17/8/2022,1
Rangpur,17/8/2022,0
Rajshahi,17/8/2022,0
Barishal,17/8/2022,1
Sylet,17/8/2022,0
Mymensingh,17/8/2022,0
Dhaka,18/8/2022,81
Chottogram,18/8/2022,8
Khulna,18/8/2022,0
Rangpur,18/8/2022,0
Rajshahi,18/8/2022,0
Barishal,18/8/2022,0
Sylet,18/8/2022,0
Mymensingh,18/8/2022,4
Dhaka,23/8/2022,108
Chottogram,23/8/2022,43
Khulna,23/8/2022,1
Rangpur,23/8/2022,0
Rajshahi,23/8/2022,0
Barishal,23/8/2022,0
Sylet,23/8/2022,0
Mymensingh,23/8/2022,1
Dhaka,24/8/2022,127
Chottogram,24/8/2022,29
Khulna,24/8/2022,6
Rangpur,24/8/2022,0
Rajshahi,24/8/2022,0
Barishal,24/8/2022,0
Sylet,24/8/2022,0
Mymensingh,24/8/2022,0
Dhaka,25/8/2022,142
Chottogram,25/8/2022,31
Khulna,25/8/2022,1
Rangpur,25/8/2022,0
Rajshahi,25/8/2022,0
Barishal,25/8/2022,4
Sylet,25/8/2022,0
Mymensingh,25/8/2022,2
Dhaka,27/8/2022,111
Chottogram,27/8/2022,12
Khulna,27/8/2022,2
Rangpur,27/8/2022,0
Rajshahi,27/8/2022,0
Barishal,27/8/2022,3
Sylet,27/8/2022,0
Mymensingh,27/8/2022,3
Dhaka,28/8/2022,144
Chottogram,28/8/2022,26
Khulna,28/8/2022,1
Rangpur,28/8/2022,1
Rajshahi,28/8/2022,1
Barishal,28/8/2022,4
Sylet,28/8/2022,0
Mymensingh,28/8/2022,0
Dhaka,29/8/2022,149
Chottogram,29/8/2022,47
Khulna,29/8/2022,0
Rangpur,29/8/2022,1
Rajshahi,29/8/2022,0
Barishal,29/8/2022,2
Sylet,29/8/2022,0
Mymensingh,29/8/2022,2
Dhaka,30/8/2022,198
Chottogram,30/8/2022,32
Khulna,30/8/2022,2
Rangpur,30/8/2022,0
Rajshahi,30/8/2022,0
Barishal,30/8/2022,4
Sylet,30/8/2022,0
Mymensingh,30/8/2022,1
Dhaka,31/8/2022,205
Chottogram,31/8/2022,33
Khulna,31/8/2022,7
