District,Month,Patients
Mymensingh,22/9/2019,7
Rajshahi,22/9/2019,31
Dhaka,23/9/2019,223
Chottogram,23/9/2019,35
Khulna,23/9/2019,121
Rangpur,23/9/2019,8
Barishal,23/9/2019,49
Sylet,23/9/2019,5
Mymensingh,23/9/2019,7
Rajshahi,23/9/2019,23
Dhaka,24/9/2019,212
Chottogram,24/9/2019,45
Khulna,24/9/2019,120
Rangpur,24/9/2019,3
Barishal,24/9/2019,44
Sylet,24/9/2019,3
Mymensingh,24/9/2019,12
Rajshahi,24/9/2019,30
Dhaka,25/9/2019,0
Chottogram,25/9/2019,0
Khulna,25/9/2019,0
Rangpur,25/9/2019,0
Barishal,25/9/2019,0
Sylet,25/9/2019,0
Mymensingh,25/9/2019,0
Rajshahi,25/9/2019,0
Dhaka,26/9/2019,0
Chottogram,26/9/2019,0
Khulna,26/9/2019,0
Rangpur,26/9/2019,0
Barishal,26/9/2019,0
Sylet,26/9/2019,0
Mymensingh,26/9/2019,0
Rajshahi,26/9/2019,0
Dhaka,27/9/2019,134
Chottogram,27/9/2019,29
Khulna,27/9/2019,107
Rangpur,27/9/2019,4
Barishal,27/9/2019,38
Sylet,27/9/2019,5
Mymensingh,27/9/2019,7
Rajshahi,27/9/2019,36
Dhaka,28/9/2019,165
Chottogram,28/9/2019,31
Khulna,28/9/2019,107
Rangpur,28/9/2019,8
Barishal,28/9/2019,30
Sylet,28/9/2019,1
Mymensingh,28/9/2019,2
Rajshahi,28/9/2019,16
Dhaka,29/9/2019,149
Chottogram,29/9/2019,37
Khulna,29/9/2019,81
Rangpur,29/9/2019,10
Barishal,29/9/2019,36
Sylet,29/9/2019,1
Mymensingh,29/9/2019,7
Rajshahi,29/9/2019,21
Dhaka,30/9/2019,163
Chottogram,30/9/2019,29
Khulna,30/9/2019,92
Rangpur,30/9/2019,8
Barishal,30/9/2019,30
Sylet,30/9/2019,5
Mymensingh,30/9/2019,6
Rajshahi,30/9/2019,15
Dhaka,1/10/2019,169
Chottogram,1/10/2019,20
Khulna,1/10/2019,98
Rangpur,1/10/2019,7
Barishal,1/10/2019,46
Sylet,1/10/2019,5
Mymensingh,1/10/2019,9
Rajshahi,1/10/2019,17
Dhaka,2/10/2019,152
Chottogram,2/10/2019,25
Khulna,2/10/2019,95
Rangpur,2/10/2019,7
Barishal,2/10/2019,31
Sylet,2/10/2019,5
Mymensingh,2/10/2019,6
Rajshahi,2/10/2019,15
Dhaka,3/10/2019,151
Chottogram,3/10/2019,25
Khulna,3/10/2019,124
Rangpur,3/10/2019,2
Barishal,3/10/2019,36
Sylet,3/10/2019,1
Mymensingh,3/10/2019,7
Rajshahi,3/10/2019,15
Dhaka,4/10/2019,119
Chottogram,4/10/2019,22
Khulna,4/10/2019,124
Rangpur,4/10/2019,4
Barishal,4/10/2019,29
Sylet,4/10/2019,0
Mymensingh,4/10/2019,6
Rajshahi,4/10/2019,22
Dhaka,5/10/2019,92
Chottogram,5/10/2019,41
Khulna,5/10/2019,79
Rangpur,5/10/2019,2
Barishal,5/10/2019,38
Sylet,5/10/2019,3
Mymensingh,5/10/2019,4
Rajshahi,5/10/2019,10
Dhaka,6/10/2019,105
Chottogram,6/10/2019,41
Khulna,6/10/2019,108
Rangpur,6/10/2019,1
Barishal,6/10/2019,38
Sylet,6/10/2019,2
Mymensingh,6/10/2019,4
Rajshahi,6/10/2019,14
Dhaka,7/10/2019,149
Chottogram,7/10/2019,23
Khulna,7/10/2019,114
Rangpur,7/10/2019,8
Barishal,7/10/2019,31
Sylet,7/10/2019,1
Mymensingh,7/10/2019,3
Rajshahi,7/10/2019,19
Dhaka,8/10/2019,101
Chottogram,8/10/2019,17
Khulna,8/10/2019,106
Rangpur,8/10/2019,2
Barishal,8/10/2019,23
Sylet,8/10/2019,1
Mymensingh,8/10/2019,4
Rajshahi,8/10/2019,13
Dhaka,9/10/2019,92
Chottogram,9/10/2019,21
Khulna,9/10/2019,82
Rangpur,9/10/2019,8
Barishal,9/10/2019,35
Sylet,9/10/2019,1
Mymensingh,9/10/2019,6
Rajshahi,9/10/2019,9
Dhaka,10/10/2019,130
Chottogram,10/10/2019,20
Khulna,10/10/2019,106
Rangpur,10/10/2019,3
Barishal,10/10/2019,37
Sylet,10/10/2019,1
Mymensingh,10/10/2019,3
Rajshahi,10/10/2019,14
Dhaka,11/10/2019,90
Chottogram,11/10/2019,17
Khulna,11/10/2019,74
Rangpur,11/10/2019,2
Barishal,11/10/2019,30
Sylet,11/10/2019,2
Mymensingh,11/10/2019,3
Rajshahi,11/10/2019,20
Dhaka,12/10/2019,131
Chottogram,12/10/2019,30
Khulna,12/10/2019,45
Rangpur,12/10/2019,2
Barishal,12/10/2019,25
Sylet,12/10/2019,1
Mymensingh,12/10/2019,5
Rajshahi,12/10/2019,15
Dhaka,13/10/2019,136
Chottogram,13/10/2019,27
Khulna,13/10/2019,69
Rangpur,13/10/2019,2
Barishal,13/10/2019,30
Sylet,13/10/2019,3
Mymensingh,13/10/2019,4
Rajshahi,13/10/2019,16
Dhaka,14/10/2019,123
Chottogram,14/10/2019,41
Khulna,14/10/2019,77
Rangpur,14/10/2019,3
Barishal,14/10/2019,28
Sylet,14/10/2019,3
Mymensingh,14/10/2019,2
Rajshahi,14/10/2019,23
Dhaka,15/10/2019,147
Chottogram,15/10/2019,29
Khulna,15/10/2019,68
Rangpur,15/10/2019,7
Barishal,15/10/2019,31
Sylet,15/10/2019,1
Mymensingh,15/10/2019,6
Rajshahi,15/10/2019,12
Dhaka,16/10/2019,133
Chottogram,16/10/2019,39
Khulna,16/10/2019,45
Rangpur,16/10/2019,2
Barishal,16/10/2019,32
Sylet,16/10/2019,1
Mymensingh,16/10/2019,6
Rajshahi,16/10/2019,25
Dhaka,17/10/2019,105
Chottogram,17/10/2019,28
Khulna,17/10/2019,47
Rangpur,17/10/2019,6
Barishal,17/10/2019,44
Sylet,17/10/2019,0
Mymensingh,17/10/2019,5
Rajshahi,17/10/2019,13
Dhaka,18/10/2019,80
Chottogram,18/10/2019,14
Khulna,18/10/2019,42
Rangpur,18/10/2019,4
Barishal,18/10/2019,26
Sylet,18/10/2019,2
Mymensingh,18/10/2019,4
Rajshahi,18/10/2019,6
Dhaka,19/10/2019,79
Chottogram,19/10/2019,11
Khulna,19/10/2019,41
Rangpur,19/10/2019,0
Barishal,19/10/2019,42
Sylet,19/10/2019,0
Mymensingh,19/10/2019,3
Rajshahi,19/10/2019,6
Dhaka,20/10/2019,114
Chottogram,20/10/2019,32
Khulna,20/10/2019,40
Rangpur,20/10/2019,1
Barishal,20/10/2019,25
Sylet,20/10/2019,1
Mymensingh,20/10/2019,6
Rajshahi,20/10/2019,25
Dhaka,21/10/2019,102
Chottogram,21/10/2019,23
Khulna,21/10/2019,47
Rangpur,21/10/2019,5
Barishal,21/10/2019,28
Sylet,21/10/2019,3
Mymensingh,21/10/2019,4
Rajshahi,21/10/2019,5
Dhaka,22/10/2019,110
Chottogram,22/10/2019,16
Khulna,22/10/2019,45
Rangpur,22/10/2019,5
Barishal,22/10/2019,32
Sylet,22/10/2019,3
Mymensingh,22/10/2019,4
Rajshahi,22/10/2019,7
Dhaka,23/10/2019,114
Chottogram,23/10/2019,30
Khulna,23/10/2019,50
Rangpur,23/10/2019,6
Barishal,23/10/2019,22
Sylet,23/10/2019,2
Mymensingh,23/10/2019,4
Rajshahi,23/10/2019,8
Dhaka,24/10/2019,99
Chottogram,24/10/2019,21
Khulna,24/10/2019,47
Rangpur,24/10/2019,5
Barishal,24/10/2019,21
Sylet,24/10/2019,2
Mymensingh,24/10/2019,4
Rajshahi,24/10/2019,11
Dhaka,25/10/2019,90
Chottogram,25/10/2019,24
Khulna,25/10/2019,41
Rangpur,25/10/2019,2
Barishal,25/10/2019,23
Sylet,25/10/2019,1
Mymensingh,25/10/2019,1
Rajshahi,25/10/2019,4
Dhaka,26/10/2019,104
Chottogram,26/10/2019,15
Khulna,26/10/2019,36
Rangpur,26/10/2019,11
Barishal,26/10/2019,22
Sylet,26/10/2019,1
Mymensingh,26/10/2019,3
Rajshahi,26/10/2019,11
Dhaka,27/10/2019,105
Chottogram,27/10/2019,33
Khulna,27/10/2019,56
Rangpur,27/10/2019,3
Barishal,27/10/2019,33
Sylet,27/10/2019,2
Mymensingh,27/10/2019,10
Rajshahi,27/10/2019,15
Dhaka,28/10/2019,124
Chottogram,28/10/2019,26
Khulna,28/10/2019,44
Rangpur,28/10/2019,4
Barishal,28/10/2019,44
Sylet,28/10/2019,2
Mymensingh,28/10/2019,1
Rajshahi,28/10/2019,6
Dhaka,29/10/2019,128
Chottogram,29/10/2019,32
Khulna,29/10/2019,40
Rangpur,29/10/2019,3
Barishal,29/10/2019,29
Sylet,29/10/2019,2
Mymensingh,29/10/2019,5
Rajshahi,29/10/2019,9
Dhaka,30/10/2019,121
Chottogram,30/10/2019,36
Khulna,30/10/2019,52
Rangpur,30/10/2019,4
Barishal,30/10/2019,35
Sylet,30/10/2019,0
Mymensingh,30/10/2019,11
Rajshahi,30/10/2019,4
Dhaka,31/10/2019,95
Chottogram,31/10/2019,27
Khulna,31/10/2019,50
Rangpur,31/10/2019,6
Barishal,31/10/2019,25
Sylet,31/10/2019,0
Mymensingh,31/10/2019,1
Rajshahi,31/10/2019,9
Dhaka,1/11/2019,88
Chottogram,1/11/2019,22
Khulna,1/11/2019,57
Rangpur,1/11/2019,3
Barishal,1/11/2019,34
Sylet,1/11/2019,1
Mymensingh,1/11/2019,4
Rajshahi,1/11/2019,6
Dhaka,2/11/2019,77
Chottogram,2/11/2019,22
Khulna,2/11/2019,27
Rangpur,2/11/2019,1
Barishal,2/11/2019,13
Sylet,2/11/2019,1
Mymensingh,2/11/2019,6
Rajshahi,2/11/2019,3
Dhaka,3/11/2019,73
Chottogram,3/11/2019,24
Khulna,3/11/2019,47
Rangpur,3/11/2019,2
Barishal,3/11/2019,24
Sylet,3/11/2019,1
Mymensingh,3/11/2019,5
Rajshahi,3/11/2019,8
Dhaka,4/11/2019,77
Chottogram,4/11/2019,33
Khulna,4/11/2019,35
Rangpur,4/11/2019,1
Barishal,4/11/2019,23
Sylet,4/11/2019,0
Mymensingh,4/11/2019,1
Rajshahi,4/11/2019,4
Dhaka,5/11/2019,100
Chottogram,5/11/2019,28
Khulna,5/11/2019,24
Rangpur,5/11/2019,3
Barishal,5/11/2019,27
Sylet,5/11/2019,0
Mymensingh,5/11/2019,2
Rajshahi,5/11/2019,4
Dhaka,6/11/2019,83
Chottogram,6/11/2019,33
Khulna,6/11/2019,36
Rangpur,6/11/2019,4
Barishal,6/11/2019,17
Sylet,6/11/2019,3
Mymensingh,6/11/2019,4
Rajshahi,6/11/2019,4
Dhaka,7/11/2019,73
Chottogram,7/11/2019,19
Khulna,7/11/2019,56
Rangpur,7/11/2019,3
Barishal,7/11/2019,32
Sylet,7/11/2019,1
Mymensingh,7/11/2019,3
Rajshahi,7/11/2019,11
Dhaka,8/11/2019,75
Chottogram,8/11/2019,22
Khulna,8/11/2019,31
Rangpur,8/11/2019,0
Barishal,8/11/2019,18
Sylet,8/11/2019,0
Mymensingh,8/11/2019,1
Rajshahi,8/11/2019,2
Dhaka,9/11/2019,71
Chottogram,9/11/2019,22
Khulna,9/11/2019,25
Rangpur,9/11/2019,2
Barishal,9/11/2019,6
Sylet,9/11/2019,6
Mymensingh,9/11/2019,6
Rajshahi,9/11/2019,8
Dhaka,10/11/2019,65
Chottogram,10/11/2019,16
Khulna,10/11/2019,21
Rangpur,10/11/2019,2
Barishal,10/11/2019,6
Sylet,10/11/2019,0
Mymensingh,10/11/2019,4
Rajshahi,10/11/2019,4
Dhaka,11/11/2019,74
Chottogram,11/11/2019,18
Khulna,11/11/2019,26
Rangpur,11/11/2019,2
Barishal,11/11/2019,2
Sylet,11/11/2019,0
Mymensingh,11/11/2019,2
Rajshahi,11/11/2019,4
Dhaka,12/11/2019,82
Chottogram,12/11/2019,22
Khulna,12/11/2019,30
Rangpur,12/11/2019,0
Barishal,12/11/2019,15
Sylet,12/11/2019,1
Mymensingh,12/11/2019,2
Rajshahi,12/11/2019,5
Dhaka,13/11/2019,79
Chottogram,13/11/2019,34
Khulna,13/11/2019,25
Rangpur,13/11/2019,0
Barishal,13/11/2019,18
Sylet,13/11/2019,2
Mymensingh,13/11/2019,4
Rajshahi,13/11/2019,5
Dhaka,14/11/2019,74
Chottogram,14/11/2019,32
Khulna,14/11/2019,23
Rangpur,14/11/2019,2
Rajshahi,14/11/2019,4
Barishal,14/11/2019,13
Sylet,14/11/2019,0
Mymensingh,14/11/2019,2
Dhaka,15/11/2019,49
Chottogram,15/11/2019,21
Khulna,15/11/2019,17
Rangpur,15/11/2019,1
Rajshahi,15/11/2019,0
Barishal,15/11/2019,7
Sylet,15/11/2019,1
Mymensingh,15/11/2019,1
Dhaka,16/11/2019,67
Chottogram,16/11/2019,20
Khulna,16/11/2019,24
Rangpur,16/11/2019,1
Rajshahi,16/11/2019,7
Barishal,16/11/2019,15
Sylet,16/11/2019,1
Mymensingh,16/11/2019,1
Dhaka,17/11/2019,64
Chottogram,17/11/2019,29
Khulna,17/11/2019,26
Rangpur,17/11/2019,3
Rajshahi,17/11/2019,7
Barishal,17/11/2019,10
Sylet,17/11/2019,1
Mymensingh,17/11/2019,3
Dhaka,18/11/2019,60
Chottogram,18/11/2019,22
Khulna,18/11/2019,19
Rangpur,18/11/2019,3
Rajshahi,18/11/2019,5
Barishal,18/11/2019,9
Sylet,18/11/2019,0
Mymensingh,18/11/2019,2
Dhaka,19/11/2019,60
Chottogram,19/11/2019,22
Khulna,19/11/2019,20
Rangpur,19/11/2019,1
Rajshahi,19/11/2019,8
Barishal,19/11/2019,9
Sylet,19/11/2019,1
Mymensingh,19/11/2019,3
Dhaka,20/11/2019,60
Chottogram,20/11/2019,20
Khulna,20/11/2019,24
Rangpur,20/11/2019,2
Rajshahi,20/11/2019,5
Barishal,20/11/2019,5
Sylet,20/11/2019,0
Mymensingh,20/11/2019,1
Dhaka,21/11/2019,65
Chottogram,21/11/2019,24
Khulna,21/11/2019,17
Rangpur,21/11/2019,1
Rajshahi,21/11/2019,6
Barishal,21/11/2019,9
Sylet,21/11/2019,0
Mymensingh,21/11/2019,1
Dhaka,22/11/2019,68
Chottogram,22/11/2019,13
Khulna,22/11/2019,17
Rangpur,22/11/2019,0
Rajshahi,22/11/2019,2
Barishal,22/11/2019,4
Sylet,22/11/2019,0
Mymensingh,22/11/2019,1
Dhaka,23/11/2019,114
Chottogram,23/11/2019,30
Khulna,23/11/2019,50
Rangpur,23/11/2019,6
Rajshahi,23/11/2019,8
Barishal,23/11/2019,22
Sylet,23/11/2019,2
Mymensingh,23/11/2019,4
Dhaka,24/11/2019,57
Chottogram,24/11/2019,16
Khulna,24/11/2019,9
Rangpur,24/11/2019,1
Rajshahi,24/11/2019,3
Barishal,24/11/2019,3
Sylet,24/11/2019,0
Mymensingh,24/11/2019,3
Dhaka,25/11/2019,64
Chottogram,25/11/2019,18
