date,division,district,sarkari_24h,besarkari_24h,admissions_24h,cumulative_total,cumulative_deaths,cumulative_discharged,source,date_source
2021-12-15,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),ারনকগঞ্জ,0,0,0,127,0,127,wayback_dghs_pdf,pdf_text
2021-12-15,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),মুরিরগঞ্জ,0,0,0,32,0,32,wayback_dghs_pdf,pdf_text
2021-12-15,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),নািায়ণগঞ্জ,0,0,0,1,0,1,wayback_dghs_pdf,pdf_text
2021-12-15,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),নিরসিংদী,0,0,0,43,0,42,wayback_dghs_pdf,pdf_text
2021-12-15,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),িাজোড়ী,0,0,0,18,0,18,wayback_dghs_pdf,pdf_text
2021-12-15,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),িীয়তপুি,0,0,0,66,0,66,wayback_dghs_pdf,pdf_text
2021-12-15,ঢাকা রেভাগ (ঢাকা হি ব্যতীত),টাঙ্গাইল,0,0,0,71,0,71,wayback_dghs_pdf,pdf_text
2021-12-15,য় নরসিংহ রেভাগ,য় নরসিংহ,0,0,0,248,2,243,wayback_dghs_pdf,pdf_text
2021-12-15,য় নরসিংহ রেভাগ,জা ালপুি,0,0,0,23,1,22,wayback_dghs_pdf,pdf_text
2021-12-15,য় নরসিংহ রেভাগ,ব িপুি,0,0,0,20,0,20,wayback_dghs_pdf,pdf_text
2021-12-15,য় নরসিংহ রেভাগ,বনত্রমকানা,0,0,0,16,0,16,wayback_dghs_pdf,pdf_text
2021-12-15,চট্টগ্রা রেভাগ,চট্টগ্রা,3,0,3,527,2,508,wayback_dghs_pdf,pdf_text
2021-12-15,চট্টগ্রা রেভাগ,কক্সোজাি,0,0,0,244,0,244,wayback_dghs_pdf,pdf_text
2021-12-15,চট্টগ্রা রেভাগ,িাঙ্গা াটি,0,0,0,0,0,0,wayback_dghs_pdf,pdf_text
