date,division,district,rain_mm,temp_mean_c,temp_max_c,humidity_pct
2021-06-04,Dhaka,Manikganj,2.39,29.37,32.24,86.44
2021-06-04,Khulna,Meherpur,0.63,30.23,34.11,79.73
2021-06-04,Sylhet,Moulvibazar,10.9,28.38,30.81,90.29
2021-06-04,Dhaka,Munshiganj,3.26,29.51,32.42,85.33
2021-06-04,Mymensingh,Mymensingh,6.82,29.04,31.82,89.48
2021-06-04,Rajshahi,Naogaon,1.25,30.32,34.73,77.15
2021-06-04,Khulna,Narail,0.95,29.36,32.32,85.57
2021-06-04,Dhaka,Narayanganj,3.26,29.51,32.42,85.33
2021-06-04,Dhaka,Narsingdi,3.83,29.25,32.07,87.43
2021-06-04,Rajshahi,Natore,1.85,29.97,33.51,82.27
2021-06-04,Mymensingh,Netrokona,13.76,28.76,31.37,89.07
2021-06-04,Rangpur,Nilphamari,1.91,29.93,34.76,75.91
2021-06-04,Chattogram,Noakhali,28.93,29.8,30.81,84.27
2021-06-04,Rajshahi,Pabna,1.28,29.72,33.04,83.81
2021-06-04,Rangpur,Panchagarh,3.52,29.58,34.06,75.33
2021-06-04,Barishal,Patuakhali,50.42,29.78,31.02,85.11
2021-06-04,Barishal,Pirojpur,6.07,29.41,32.06,85.67
2021-06-04,Dhaka,Rajbari,1.24,29.51,32.7,84.69
2021-06-04,Rajshahi,Rajshahi,0.89,30.34,34.47,78.24
2021-06-04,Chattogram,Rangamati,11.09,27.43,30.95,86.31
2021-06-04,Rangpur,Rangpur,3.81,30.08,34.07,78.95
2021-06-04,Khulna,Satkhira,0.62,29.47,32.15,85.14
2021-06-04,Dhaka,Shariatpur,6.33,29.36,32.07,86.12
2021-06-04,Mymensingh,Sherpur,6.65,29.43,32.65,86.11
2021-06-04,Rajshahi,Sirajganj,1.85,29.97,33.51,82.27
2021-06-04,Sylhet,Sunamganj,26.03,28.36,30.59,91.14
2021-06-04,Sylhet,Sylhet,27.67,27.8,30.02,93.0
2021-06-04,Dhaka,Tangail,3.47,29.47,32.56,86.38
2021-06-04,Rangpur,Thakurgaon,0.79,30.23,35.18,74.2
2021-06-05,Khulna,Bagerhat,7.81,29.84,32.6,86.71
2021-06-05,Chattogram,Bandarban,34.07,26.92,29.52,92.92
2021-06-05,Barishal,Barguna,12.07,29.9,31.76,88.59
2021-06-05,Barishal,Barishal,13.82,29.51,32.07,88.37
2021-06-05,Barishal,Bhola,16.39,29.71,31.86,88.68
2021-06-05,Rajshahi,Bogura,10.22,29.95,33.94,82.46
2021-06-05,Chattogram,Brahmanbaria,57.92,28.38,30.24,92.47
2021-06-05,Chattogram,Chandpur,23.56,29.17,31.43,89.63
2021-06-05,Rajshahi,Chapai Nawabganj,3.15,31.2,36.3,73.09
