date,division,district,admissions,source,is_estimated
2022-06-29,Dhaka,Munshiganj,0.0,dghs_pdf,False
2022-06-29,Dhaka,Narayanganj,0.0,dghs_pdf,False
2022-06-29,Dhaka,Narsingdi,0.0,dghs_pdf,False
2022-06-29,Dhaka,Rajbari,0.0,dghs_pdf,False
2022-06-29,Dhaka,Shariatpur,0.0,dghs_pdf,False
2022-06-29,Dhaka,Tangail,0.0,dghs_pdf,False
2022-06-29,Khulna,Bagerhat,0.0,dghs_pdf,False
2022-06-29,Khulna,Chuadanga,0.0,dghs_pdf,False
2022-06-29,Khulna,Jashore,1.0,dghs_pdf,False
2022-06-29,Khulna,Jhenaidah,0.0,dghs_pdf,False
2022-06-29,Khulna,Khulna,0.0,dghs_pdf,False
2022-06-29,Khulna,Kushtia,0.0,dghs_pdf,False
2022-06-29,Khulna,Magura,0.0,dghs_pdf,False
2022-06-29,Khulna,Meherpur,0.0,dghs_pdf,False
2022-06-29,Khulna,Narail,0.0,dghs_pdf,False
2022-06-29,Khulna,Satkhira,0.0,dghs_pdf,False
2022-06-29,Mymensingh,Jamalpur,0.0,dghs_pdf,False
2022-06-29,Mymensingh,Mymensingh,0.0,dghs_pdf,False
2022-06-29,Mymensingh,Netrokona,0.0,dghs_pdf,False
2022-06-29,Mymensingh,Sherpur,0.0,dghs_pdf,False
2022-06-29,Rajshahi,Bogura,0.0,dghs_pdf,False
2022-06-29,Rajshahi,Chapai Nawabganj,0.0,dghs_pdf,False
2022-06-29,Rajshahi,Joypurhat,0.0,dghs_pdf,False
2022-06-29,Rajshahi,Naogaon,0.0,dghs_pdf,False
2022-06-29,Rajshahi,Natore,0.0,dghs_pdf,False
2022-06-29,Rajshahi,Pabna,0.0,dghs_pdf,False
2022-06-29,Rajshahi,Rajshahi,0.0,dghs_pdf,False
2022-06-29,Rajshahi,Sirajganj,0.0,dghs_pdf,False
2022-06-29,Rangpur,Dinajpur,0.0,dghs_pdf,False
2022-06-29,Rangpur,Gaibandha,0.0,dghs_pdf,False
2022-06-29,Rangpur,Kurigram,0.0,dghs_pdf,False
2022-06-29,Rangpur,Lalmonirhat,0.0,dghs_pdf,False
2022-06-29,Rangpur,Nilphamari,0.0,dghs_pdf,False
2022-06-29,Rangpur,Panchagarh,0.0,dghs_pdf,False
2022-06-29,Rangpur,Rangpur,0.0,dghs_pdf,False
2022-06-29,Rangpur,Thakurgaon,0.0,dghs_pdf,False
2022-06-29,Sylhet,Habiganj,0.0,dghs_pdf,False
2022-06-29,Sylhet,Moulvibazar,0.0,dghs_pdf,False
2022-06-29,Sylhet,Sunamganj,0.0,dghs_pdf,False
2022-06-29,Sylhet,Sylhet,0.0,dghs_pdf,False
2022-06-30,Barishal,Barguna,0.0,dghs_pdf,False
2022-06-30,Barishal,Barishal,0.0,dghs_pdf,False
2022-06-30,Barishal,Bhola,0.0,dghs_pdf,False
2022-06-30,Barishal,Jhalokati,0.0,dghs_pdf,False
2022-06-30,Barishal,Patuakhali,0.0,dghs_pdf,False
2022-06-30,Barishal,Pirojpur,0.0,dghs_pdf,False
2022-06-30,Chattogram,Bandarban,0.0,dghs_pdf,False
2022-06-30,Chattogram,Brahmanbaria,0.0,dghs_pdf,False
2022-06-30,Chattogram,Chandpur,0.0,dghs_pdf,False
2022-06-30,Chattogram,Chattogram,0.0,dghs_pdf,False
2022-06-30,Chattogram,Cox's Bazar,0.0,dghs_pdf,False
2022-06-30,Chattogram,Cumilla,0.0,dghs_pdf,False
2022-06-30,Chattogram,Feni,0.0,dghs_pdf,False
2022-06-30,Chattogram,Khagrachhari,0.0,dghs_pdf,False
2022-06-30,Chattogram,Lakshmipur,0.0,dghs_pdf,False
2022-06-30,Chattogram,Noakhali,0.0,dghs_pdf,False
2022-06-30,Chattogram,Rangamati,0.0,dghs_pdf,False
2022-06-30,Dhaka,Dhaka,33.0,dghs_pdf,False
2022-06-30,Dhaka,Faridpur,0.0,dghs_pdf,False
2022-06-30,Dhaka,Gazipur,0.0,dghs_pdf,False
2022-06-30,Dhaka,Gopalganj,0.0,dghs_pdf,False
2022-06-30,Dhaka,Kishoreganj,0.0,dghs_pdf,False
2022-06-30,Dhaka,Madaripur,0.0,dghs_pdf,False
2022-06-30,Dhaka,Manikganj,0.0,dghs_pdf,False
2022-06-30,Dhaka,Munshiganj,0.0,dghs_pdf,False
2022-06-30,Dhaka,Narayanganj,0.0,dghs_pdf,False
2022-06-30,Dhaka,Narsingdi,0.0,dghs_pdf,False
2022-06-30,Dhaka,Rajbari,0.0,dghs_pdf,False
2022-06-30,Dhaka,Shariatpur,0.0,dghs_pdf,False
2022-06-30,Dhaka,Tangail,0.0,dghs_pdf,False
2022-06-30,Khulna,Bagerhat,0.0,dghs_pdf,False
2022-06-30,Khulna,Chuadanga,0.0,dghs_pdf,False
2022-06-30,Khulna,Jashore,0.0,dghs_pdf,False
2022-06-30,Khulna,Jhenaidah,0.0,dghs_pdf,False
2022-06-30,Khulna,Khulna,0.0,dghs_pdf,False
2022-06-30,Khulna,Kushtia,0.0,dghs_pdf,False
2022-06-30,Khulna,Magura,0.0,dghs_pdf,False
2022-06-30,Khulna,Meherpur,0.0,dghs_pdf,False
2022-06-30,Khulna,Narail,0.0,dghs_pdf,False
2022-06-30,Khulna,Satkhira,0.0,dghs_pdf,False
2022-06-30,Mymensingh,Jamalpur,0.0,dghs_pdf,False
2022-06-30,Mymensingh,Mymensingh,0.0,dghs_pdf,False
2022-06-30,Mymensingh,Netrokona,0.0,dghs_pdf,False
2022-06-30,Mymensingh,Sherpur,0.0,dghs_pdf,False
2022-06-30,Rajshahi,Bogura,0.0,dghs_pdf,False
2022-06-30,Rajshahi,Chapai Nawabganj,0.0,dghs_pdf,False
2022-06-30,Rajshahi,Joypurhat,0.0,dghs_pdf,False
2022-06-30,Rajshahi,Naogaon,0.0,dghs_pdf,False
2022-06-30,Rajshahi,Natore,0.0,dghs_pdf,False
2022-06-30,Rajshahi,Pabna,0.0,dghs_pdf,False
2022-06-30,Rajshahi,Rajshahi,0.0,dghs_pdf,False
2022-06-30,Rajshahi,Sirajganj,0.0,dghs_pdf,False
2022-06-30,Rangpur,Dinajpur,0.0,dghs_pdf,False
2022-06-30,Rangpur,Gaibandha,0.0,dghs_pdf,False
2022-06-30,Rangpur,Kurigram,0.0,dghs_pdf,False
2022-06-30,Rangpur,Lalmonirhat,0.0,dghs_pdf,False
2022-06-30,Rangpur,Nilphamari,0.0,dghs_pdf,False
2022-06-30,Rangpur,Panchagarh,0.0,dghs_pdf,False
2022-06-30,Rangpur,Rangpur,0.0,dghs_pdf,False
2022-06-30,Rangpur,Thakurgaon,0.0,dghs_pdf,False
2022-06-30,Sylhet,Habiganj,0.0,dghs_pdf,False
2022-06-30,Sylhet,Moulvibazar,0.0,dghs_pdf,False
2022-06-30,Sylhet,Sunamganj,0.0,dghs_pdf,False
2022-06-30,Sylhet,Sylhet,0.0,dghs_pdf,False
2022-07-01,Barishal,Barguna,0.0,dghs_pdf,False
2022-07-01,Barishal,Barishal,0.0,dghs_pdf,False
2022-07-01,Barishal,Bhola,0.0,dghs_pdf,False
2022-07-01,Barishal,Jhalokati,0.0,dghs_pdf,False
2022-07-01,Barishal,Patuakhali,0.0,dghs_pdf,False
2022-07-01,Barishal,Pirojpur,0.0,dghs_pdf,False
