date,district,division,admissions_est,division_admissions_observed,share_within_division,source,disaggregation_method
2019-11-11,Noakhali,Chattogram,1.9654,18,0.109187,kaggle_shampabanik12,population_share_within_division
2019-11-11,Rangamati,Chattogram,0.3511,18,0.019504,kaggle_shampabanik12,population_share_within_division
2019-11-11,Dhaka,Dhaka,24.6602,74,0.333245,kaggle_shampabanik12,population_share_within_division
2019-11-11,Faridpur,Dhaka,3.6198,74,0.048916,kaggle_shampabanik12,population_share_within_division
2019-11-11,Gazipur,Dhaka,8.809,74,0.119041,kaggle_shampabanik12,population_share_within_division
2019-11-11,Gopalganj,Dhaka,2.1674,74,0.029289,kaggle_shampabanik12,population_share_within_division
2019-11-11,Kishoreganj,Dhaka,5.4687,74,0.073902,kaggle_shampabanik12,population_share_within_division
2019-11-11,Madaripur,Dhaka,2.164,74,0.029244,kaggle_shampabanik12,population_share_within_division
2019-11-11,Manikganj,Dhaka,2.6075,74,0.035237,kaggle_shampabanik12,population_share_within_division
2019-11-11,Munshiganj,Dhaka,2.7203,74,0.036761,kaggle_shampabanik12,population_share_within_division
2019-11-11,Narayanganj,Dhaka,6.5424,74,0.08841,kaggle_shampabanik12,population_share_within_division
2019-11-11,Narsingdi,Dhaka,4.3254,74,0.058451,kaggle_shampabanik12,population_share_within_division
2019-11-11,Rajbari,Dhaka,1.9913,74,0.026909,kaggle_shampabanik12,population_share_within_division
2019-11-11,Shariatpur,Dhaka,2.1666,74,0.029278,kaggle_shampabanik12,population_share_within_division
2019-11-11,Tangail,Dhaka,6.7574,74,0.091316,kaggle_shampabanik12,population_share_within_division
2019-11-11,Bagerhat,Khulna,2.4409,26,0.093881,kaggle_shampabanik12,population_share_within_division
2019-11-11,Chuadanga,Khulna,1.8674,26,0.071823,kaggle_shampabanik12,population_share_within_division
2019-11-11,Jashore,Khulna,4.6559,26,0.179073,kaggle_shampabanik12,population_share_within_division
2019-11-11,Jhenaidah,Khulna,2.6803,26,0.10309,kaggle_shampabanik12,population_share_within_division
2019-11-11,Khulna,Khulna,3.9546,26,0.152099,kaggle_shampabanik12,population_share_within_division
2019-11-11,Kushtia,Khulna,3.2529,26,0.125112,kaggle_shampabanik12,population_share_within_division
2019-11-11,Magura,Khulna,1.5633,26,0.060127,kaggle_shampabanik12,population_share_within_division
2019-11-11,Meherpur,Khulna,1.0673,26,0.041052,kaggle_shampabanik12,population_share_within_division
2019-11-11,Narail,Khulna,1.1934,26,0.045901,kaggle_shampabanik12,population_share_within_division
2019-11-11,Satkhira,Khulna,3.3239,26,0.127841,kaggle_shampabanik12,population_share_within_division
2019-11-11,Jamalpur,Mymensingh,0.4089,2,0.204469,kaggle_shampabanik12,population_share_within_division
2019-11-11,Mymensingh,Mymensingh,0.965,2,0.48252,kaggle_shampabanik12,population_share_within_division
2019-11-11,Netrokona,Mymensingh,0.3803,2,0.190165,kaggle_shampabanik12,population_share_within_division
2019-11-11,Sherpur,Mymensingh,0.2457,2,0.122846,kaggle_shampabanik12,population_share_within_division
2019-11-11,Bogura,Rajshahi,0.7339,4,0.183476,kaggle_shampabanik12,population_share_within_division
2019-11-11,Chapai Nawabganj,Rajshahi,0.3607,4,0.090184,kaggle_shampabanik12,population_share_within_division
2019-11-11,Joypurhat,Rajshahi,0.188,4,0.046992,kaggle_shampabanik12,population_share_within_division
2019-11-11,Naogaon,Rajshahi,0.5473,4,0.136814,kaggle_shampabanik12,population_share_within_division
2019-11-11,Natore,Rajshahi,0.3655,4,0.091383,kaggle_shampabanik12,population_share_within_division
2019-11-11,Pabna,Rajshahi,0.5718,4,0.142957,kaggle_shampabanik12,population_share_within_division
2019-11-11,Rajshahi,Rajshahi,0.5729,4,0.143222,kaggle_shampabanik12,population_share_within_division
2019-11-11,Sirajganj,Rajshahi,0.6599,4,0.164973,kaggle_shampabanik12,population_share_within_division
2019-11-11,Dinajpur,Rangpur,0.3765,2,0.188249,kaggle_shampabanik12,population_share_within_division
2019-11-11,Gaibandha,Rangpur,0.291,2,0.145491,kaggle_shampabanik12,population_share_within_division
2019-11-11,Kurigram,Rangpur,0.2645,2,0.132256,kaggle_shampabanik12,population_share_within_division
2019-11-11,Lalmonirhat,Rangpur,0.1622,2,0.081109,kaggle_shampabanik12,population_share_within_division
2019-11-11,Nilphamari,Rangpur,0.2376,2,0.118822,kaggle_shampabanik12,population_share_within_division
2019-11-11,Panchagarh,Rangpur,0.134,2,0.066995,kaggle_shampabanik12,population_share_within_division
2019-11-11,Rangpur,Rangpur,0.36,2,0.17998,kaggle_shampabanik12,population_share_within_division
2019-11-11,Thakurgaon,Rangpur,0.1742,2,0.087099,kaggle_shampabanik12,population_share_within_division
2019-11-11,Habiganj,Sylhet,0.0,0,0.213767,kaggle_shampabanik12,population_share_within_division
2019-11-11,Moulvibazar,Sylhet,0.0,0,0.192431,kaggle_shampabanik12,population_share_within_division
2019-11-11,Sunamganj,Sylhet,0.0,0,0.244271,kaggle_shampabanik12,population_share_within_division
2019-11-11,Sylhet,Sylhet,0.0,0,0.349532,kaggle_shampabanik12,population_share_within_division
2019-11-12,Barguna,Barishal,1.6657,15,0.111046,kaggle_shampabanik12,population_share_within_division
2019-11-12,Barishal,Barishal,4.237,15,0.282464,kaggle_shampabanik12,population_share_within_division
2019-11-12,Bhola,Barishal,3.1854,15,0.212362,kaggle_shampabanik12,population_share_within_division
2019-11-12,Jhalokati,Barishal,1.0898,15,0.072654,kaggle_shampabanik12,population_share_within_division
2019-11-12,Patuakhali,Barishal,2.8471,15,0.189806,kaggle_shampabanik12,population_share_within_division
2019-11-12,Pirojpur,Barishal,1.975,15,0.131668,kaggle_shampabanik12,population_share_within_division
2019-11-12,Bandarban,Chattogram,0.3188,22,0.01449,kaggle_shampabanik12,population_share_within_division
2019-11-12,Brahmanbaria,Chattogram,2.1909,22,0.099588,kaggle_shampabanik12,population_share_within_division
2019-11-12,Chandpur,Chattogram,1.7465,22,0.079384,kaggle_shampabanik12,population_share_within_division
2019-11-12,Chattogram,Chattogram,6.0757,22,0.276169,kaggle_shampabanik12,population_share_within_division
2019-11-12,Cox's Bazar,Chattogram,1.8707,22,0.085032,kaggle_shampabanik12,population_share_within_division
2019-11-12,Cumilla,Chattogram,4.1162,22,0.187102,kaggle_shampabanik12,population_share_within_division
2019-11-12,Feni,Chattogram,1.0926,22,0.049662,kaggle_shampabanik12,population_share_within_division
2019-11-12,Khagrachhari,Chattogram,0.4732,22,0.021508,kaggle_shampabanik12,population_share_within_division
2019-11-12,Lakshmipur,Chattogram,1.2842,22,0.058373,kaggle_shampabanik12,population_share_within_division
2019-11-12,Noakhali,Chattogram,2.4021,22,0.109187,kaggle_shampabanik12,population_share_within_division
2019-11-12,Rangamati,Chattogram,0.4291,22,0.019504,kaggle_shampabanik12,population_share_within_division
2019-11-12,Dhaka,Dhaka,27.3261,82,0.333245,kaggle_shampabanik12,population_share_within_division
2019-11-12,Faridpur,Dhaka,4.0111,82,0.048916,kaggle_shampabanik12,population_share_within_division
2019-11-12,Gazipur,Dhaka,9.7613,82,0.119041,kaggle_shampabanik12,population_share_within_division
2019-11-12,Gopalganj,Dhaka,2.4017,82,0.029289,kaggle_shampabanik12,population_share_within_division
2019-11-12,Kishoreganj,Dhaka,6.06,82,0.073902,kaggle_shampabanik12,population_share_within_division
2019-11-12,Madaripur,Dhaka,2.398,82,0.029244,kaggle_shampabanik12,population_share_within_division
2019-11-12,Manikganj,Dhaka,2.8894,82,0.035237,kaggle_shampabanik12,population_share_within_division
2019-11-12,Munshiganj,Dhaka,3.0144,82,0.036761,kaggle_shampabanik12,population_share_within_division
2019-11-12,Narayanganj,Dhaka,7.2497,82,0.08841,kaggle_shampabanik12,population_share_within_division
2019-11-12,Narsingdi,Dhaka,4.793,82,0.058451,kaggle_shampabanik12,population_share_within_division
2019-11-12,Rajbari,Dhaka,2.2066,82,0.026909,kaggle_shampabanik12,population_share_within_division
2019-11-12,Shariatpur,Dhaka,2.4008,82,0.029278,kaggle_shampabanik12,population_share_within_division
2019-11-12,Tangail,Dhaka,7.4879,82,0.091316,kaggle_shampabanik12,population_share_within_division
2019-11-12,Bagerhat,Khulna,2.8164,30,0.093881,kaggle_shampabanik12,population_share_within_division
2019-11-12,Chuadanga,Khulna,2.1547,30,0.071823,kaggle_shampabanik12,population_share_within_division
2019-11-12,Jashore,Khulna,5.3722,30,0.179073,kaggle_shampabanik12,population_share_within_division
2019-11-12,Jhenaidah,Khulna,3.0927,30,0.10309,kaggle_shampabanik12,population_share_within_division
2019-11-12,Khulna,Khulna,4.563,30,0.152099,kaggle_shampabanik12,population_share_within_division
2019-11-12,Kushtia,Khulna,3.7534,30,0.125112,kaggle_shampabanik12,population_share_within_division
